Country,Year,Population
Nigeria,2008,152382506
Nigeria,2009,156595758
Nigeria,2010,160952853
Nigeria,2011,165463745
Nigeria,2012,170075932
Nigeria,2013,174726123
Nigeria,2014,179379016
Nigeria,2015,183995785
Nigeria,2016,188666931
Nigeria,2017,193495907
